Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
box in a mountain or wilderness area, containing a stretcher and first-aid materials|emergency=rescue_box|||||||
box to deposit outgoing postal items|amenity=post_box|||||||
boxes and other structures, which typically contain plants for decoration, acting as a barrier|barrier=planter|||||||
break room|room=break|||||||
breakfast room|room=breakfast|||||||
broad beam light used to illuminate a structure or area|light:category=flood|||||||
building address|addr:full=user defined||General building information|Formal information|address [1]|||PlaceInfo#address, StructuredAddress#building, StructuredAddress#house, StructuredAddress#level, StructuredAddress#room, StructuredAddress#street
building arranged into individual dwellings|building=apartments|||||||
building built as a supermarket|building=supermarket||General help for orientation / Technical assistance|Stores|type [5]|supermarket||PlaceInfo#category
building built as chapel|building=chapel|||||||PlaceInfo#category
building built to house government offices|building=government|||||||PlaceInfo#category
building constructed as a digester|building=digester|||||||PlaceInfo#category
building constructed as accessible to the general public|building=public|||||||PlaceInfo#accessibility, PlaceInfo#category
building constructed for non-specific commercial activities to take place there|building=commercial|||||||PlaceInfo#category
building constructed to house fire fighting equipment|building=fire_station|||||||PlaceInfo#category
building designed for toilets|building=toilets|||||||PlaceInfo#category, Restroom#toilet
building designed with separate rooms available for overnight accommodation|building=hotel|||||||PlaceInfo#category
building for baking bread|building=bakehouse|||||||PlaceInfo#category
building for housing cows|building=cowshed|||||||PlaceInfo#category
building for raising domestic pigs|building=sty|||||||PlaceInfo#category
building hosting any civic amenity|building=civic|||||||PlaceInfo#category
building in which plants are grown|building=greenhouse|||||||PlaceInfo#category
building is box shaped|building:form=box|||||||PlaceInfo#category
building is fireproof|building:fireproof=yes|||||||PlaceInfo#category
building is I-shaped|building:form=I-shaped|||||||PlaceInfo#category
building is L-shaped|building:form=L-shaped|||||||PlaceInfo#category
building is multi-projected|building:form=multi-projected|||||||PlaceInfo#category
building is not fireproof|building:fireproof=no|||||||PlaceInfo#category
building is not regular shaped|building:form=other|||||||PlaceInfo#category
building is rectangular shaped|building:form=rectangular|||||||PlaceInfo#category
building is T-shaped|building:form=T-shaped|||||||PlaceInfo#category
building levels / floors|level=-1;0||General building information|Formal information|levels / floors|||PlaceInfo#accessibility, StructuredAddress#level, StructuredAddress#room
building number|addr:housenumber=user defined||General building information|Formal information|building number|||StructuredAddress#building, StructuredAddress#house, StructuredAddress#level, StructuredAddress#room
building on a farm that is not a dwelling|building=farm_auxiliary|||||||PlaceInfo#category
building open on at least two sides|building=roof|||||||
building or room having glass or tarpaulin roofing and walls|building=conservatory|||||||
building part under construction|building:part=construction|||||||
building plan|information=map, information=tactile_map|building_plan=yes|General help for orientation / Technical assistance|Plan|type [12]|building plan||PlaceInfo#accessibility
building primarily used for selling goods to the general public|building=retail||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|retail areas (shops)||PlaceInfo#category
building providing facilities for users of sports grounds|building=pavilion|||||||PlaceInfo#category
building related to the public transportation|building=transportation||General building information|Formal information|public transport|||PlaceInfo#category
building size|building:levels=number, height=user defined, length=user defined, width=user defined||General building information|Formal information|size [1]|||PlaceInfo#accessibility
building symmetry|building:form=box, building:form=I-shaped, building:form=L-shaped, building:form=multi_projected, building:form=rectangular, building:form=T-shaped||General building information|Formal information|symmetry|||PlaceInfo#accessibility
building that is used as a stable for horses|building=stable|||||||PlaceInfo#category
building that was built as a cathedral|building=cathedral|||||||PlaceInfo#category
building that was built as a church|building=church|||||||PlaceInfo#category
building that was built as a mosque|building=mosque|||||||PlaceInfo#category
building that was built as a religious building|building=religious|||||||PlaceInfo#category
building that was built as a riding hall|building=riding_hall|||||||PlaceInfo#category
building that was built as a shrine|building=shrine|||||||PlaceInfo#category
building that was built as a sports hall|building=sports_hall|||||||PlaceInfo#category
building that was built as a synagogue|building=synagogue|||||||PlaceInfo#category
building that was built as a temple|building=temple|||||||PlaceInfo#category
building under construction|building=construction|||||||
building used as a bridge|building=bridge||General building information|Formal information|bridges between buildings or parts of buildings|||
building used primarily for residential purposes|building=residential|||||||PlaceInfo#category
building where some manufacturing process takes place|building=industrial|||||||PlaceInfo#category
building which forms part of a hospital|building=hospital|||||||PlaceInfo#category
building which was built as stadium|building=stadium|||||||PlaceInfo#category
building with no soft storey|building:soft_storey=no|||||||PlaceInfo#category
building with one or more soft storey|building:soft_storey=yes|||||||PlaceInfo#category
building within the grounds of a college|building=college|||||||PlaceInfo#category
bungalow|building=bungalow|||||||PlaceInfo#category
business selling goods to exterminate rats, insects etc.|shop=pest_control|||||||
business that offers secured loans against items of personal property as collateral|shop=pawnbroker|||||||
business where cars are repaired|shop=car_repair|||||||
bust|artwork_type=bust|||||||
but not at the same time|unisex=alternating|||||||
but not wheelchairs|wheelchair=no||||||Accessibility#accessibleWith.wheelchair == false|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
button is defect|button_operated=defect|||||||
button operated|automatic_door=button, button_operated=only, button_operated=optional, button_operated=defect, button_operated=not_only, button_operated=sometimes|||||||EquipmentProperties#door
button to slow down|automatic_door=slowdown_button|||||||EquipmentProperties#door
by 10 degree|incline=10°, incline:across=10°, incline:avg=10°|||||||Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
by 15 percent|incline=15%, incline:across=15%, incline:avg=15%|||||||Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
cabin|room=cabin|||||||
cabinet located in the street and hosting technical equipment to operate facilities such as electricity or street lights|man_made=street_cabinet|||||||
cable driven inclined railway|railway=furnicular|||||||
canteen|room=canteen||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|food: canteen||PlaceInfo#category
car shuttle trains through tunnels|service=car-shuttle|||||||
cards are accepted|payment:cards=yes|||||||
cards are accepted only at certain times|payment:cards=interval|||||||
cards are not accepted|payment:cards=no|||||||
carpet layer is a tradesmen who specializes in laying carpets|craft=carpet_layer|||||||
carpet variant|surface=carpet|||[Beispiel:Carpet]|carpet variant|||
carpets/mats|surface=carpet||Building characteristics|Floor (pathway)|material [1]|carpets/mats (height, securely attached to floor)||
carpets/mats with securely attached edges|surface=carpet|attached_edges=yes|Building characteristics|Doorways|carpets/mats|edges securely attached||
carport is a covered structure used to offer limited protection to vehicles|building=carport|||||||
cash is accepted|payment:cash=yes|||||||
cash is accepted only at certain times|payment:cash=interval|||||||
cash is not accepted|payment:cash=no|||||||
cashier's desk||cashier's_desk=yes|Facility daily needs|Services|type [1]|cashier's desk (Kasse zum Bezahlen)||
castle wall|wall=castle_wall|||||||
catering|room=catering|||||||
Cement based concrete|surface=concrete|||||||
cenotaph (empty tomb)|memorial=cenotaph|||||||
centralized / decentralized control|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring|control=centralized, control=decentralized|General help for orientation / Technical assistance|Technology|control room functions|centralized / decentralized (e.g. light switch)||
certified by the German organisation DEHOGA|dehoga:a=yes, dehoga:b=yes, dehoga:c=yes, dehoga:d=yes, dehoga:e=yes|||||||
chain used to prevent motorised vehicles|barrier=chain|||||||
chair||chair=yes|Movables|Furniture|type: seating|chair||
chancel|room=chancel|||||||
change of the floor surface or texture|surface=acrylic, surface=artificial_turf, surface=asphalt, surface=carpet, surface=clay, surface=cobblestone, surface=cobblestone:flattend, surface=concrete, surface=concrete:lanes, surface=concrete:plates, surface=compacted, surface=dirt, surface=earth, surface=fine_gravel, surface=grass, surface=grass_paver, surface=gravel, surface=ground, surface=ice, surface=metal, surface=metal_grid, surface=mud, surface=paved, surface=paving_stones, surface=pebblestone, surface=rock, surface=salt, surface=sand, surface=sett, surface=snow, surface=tartan, surface=unhewn_cobblestone, surface=unpaved, surface=wood, surface=woodchips, texture=glass, texture=ridges, texture=smooth||Building characteristics|Floor (pathway)|material [1]|change of the surface or texture||
changing direction|conveying=reversible|||||||
changing table is available|changing_table=yes||Movables|Furniture|type: table|baby's changing table||
changing table is in a dedicated room|changing_table:location=dedicated_room|||||||
changing table is in a room that isn't mainly intended for changing nappies|changing_table:location=room|||||||
changing table is located in the toilet for men|changing_table:location=male_toilet|||||||Restroom#toilet
changing table is located in the toilet for wheelchair users|changing_table:location=wheelchair_toilet|||||||Restroom#toilet
changing table is located in the toilet for women|changing_table:location=female_toilet|||||||Restroom#toilet
changing table is located in the unisex toilet|changing_table:location=unisex_toilet|||||||Restroom#toilet
changing table is located right in the sales area|changing_table:location=sales_area|||||||
changing table is not available|changing_table=no|||||||
