Name|Semantic tags|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
media is braille|<ACCY>|braille=yes, room=media, tactile_writing:braille:lg=no, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=no, tactile_writing:computer_braille:lg=yes|amenity=media, media=braille||||||Media#isBraille
media room turning space in front|<ACCY>|room=media|clear_floor_space=yes||||||Media#turningSpaceInFront
microphone system|<ACCY>||microphone=system, microphone=yes|General help for orientation / Technical assistance|Technology|microphone system|||
no access for blind persons|<ACCY>|access:blind, blind=no|||||||PlaceInfo#accessibility
no access for deaf persons|<ACCY>|access:deaf=no|||||||PlaceInfo#accessibility
no access for disabled persons|<ACCY>|access:disabled=no, disabled=no|||||||PlaceInfo#accessibility
no access for mental disabled persons|<ACCY>|access:mental_disabled=no|||||||PlaceInfo#accessibility
no handrail in the center|<ACCY>|handrail:center=no|||||||
no handrail on the left relative to direction of the way|<ACCY>|handrail:left=no|||||||
no handrail on the right relative to direction of the way|<ACCY>|handrail:right=no|||||||
no obstacle for wheelchairs|<ACCY>|obstacle:wheelchair=no||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
not accessible for persons with sitting disabilities|<ACCY>|sitting_disability=no|||||||PlaceInfo#accessibility
not accessible for persons with walking disabilities|<ACCY>|walking_disability=no||||||Accessibility#accessibleWith.wheelchair == false|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
number of ramps length, platform depth (Ramp to entrance: from outside to access; ramp in corridor: from bottom to top)|<ACCY>|depth=user defined, highway=access_ramp, length=user defined, number=user defined, ramp=yes, rampDisability=yes, ramp:wheelchair=yes, room=corridor, room=platform, width=user defined||Change in Ground Height|Ramp|number of ramps length, platform depth (Ramp to entrance: from outside to access; ramp in corridor: from bottom to top)|||
number of ramps length, platform depth (Ramp to entrance: from outside to access; ramp in corridor: from bottom to top), structure of ramp: ramp ... platform... ramp ... platform ... etc.|<ACCY>|depth=user defined, description=user defined, highway=access_ramp, length=user defined, number=user defined, ramp=yes, rampDisability=yes, ramp:wheelchair=yes, room=corridor, room=platform, width=user defined|ramp:description=user defined|Change in Ground Height|Ramp|number of ramps length, platform depth (Ramp to entrance: from outside to access; ramp in corridor: from bottom to top)|ramp ... platform... ramp ... platform ... etc.||PlaceInfo#description
number of wheelchair places / seatings: with table|<ACCY>|amenity=table, number=user defined, setas=user defined, wheelchair=yes|wheelchair:seats=user defined, wheelchair_space=yes, wheelchair:table=user defined|Movables|Seatings|pews|number of wheelchair places: with table|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
number of wheelchair places / seatings: without table|<ACCY>|amenity=table, number=user defined, setas=user defined, wheelchair=yes|wheelchair:seats=user defined, wheelchair_space=yes, wheelchair:table=0|Movables|Seatings|pews|number of wheelchair places: without table|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
number of wheelchair spaces|<ACCY>|number=user defined, wheelchair=yes|wheelchair_space=user defined|Movables|Wheelchair space (seatings)|number of wheelchair spaces||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
obstruction of handrail of a ramp|<ACCY>|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=right, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, obstacle:wheelchair=limited, obstacle:wheelchair=step, obstacle:wheelchair=yes, obstruction:type=armrest, obstruction:type=bar, obstruction:type=grille, obstruction:type=pole, obstruction:type=slope, obstruction:type=spikes, ramp=yes||Change in Ground Height|Ramp|handrail [2]|obstructions||
office of the commissioner for the disabled people|<ACCY>||office=commissioner_disabled|General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|office of the commissioner for the disabled people||PlaceInfo#category
on which side of the ramp is a handrail relative to direction of the way|<ACCY>|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=right, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes||Change in Ground Height|Ramp|handrail [2]|which side/s||
pair of ramps with a narrow flight of stairs|<ACCY>|ramp:stroller=yes|||||||
passing space floor|<ACCY>||clear_floor_space=passing, clear_floor_space=yes|Building characteristics|Floor (pathway)|passing space [2]|||Pathways#width, Pathways#widthAtObstacles
path through the corridor is barrier-free passable|<ACCY>|access=yes, access:disabled=yes, highway=corrior|corridor=barrier-free|Building characteristics|Floor (pathway)|is the path through the corridor barrier-free passable?|||Pathways#width, Pathways#widthAtObstacles, PlaceInfo#accessibility
path through the corridor is barrier-free passable with a mobility restriction|<ACCY>|access=yes, access:disabled=yes, highway=corrior, walking_disability=yes, wheelchair=yes|corridor=barrier-free, barrier-free=mobility|Building characteristics|Floor (pathway)|is the path through the corridor barrier-free passable?|with a mobility restriction |Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Pathways#width, Pathways#widthAtObstacles, PlaceInfo#accessibility
path through the corridor is barrier-free passable with a visual impairment|<ACCY>|access=yes, access:blind=yes, access:disabled=yes, highway=corrider|corridor=barrier-free, barrier-free=visual|Building characteristics|Floor (pathway)|is the path through the corridor barrier-free passable?|with a visual impairment||PlaceInfo#accessibility
permanent ramp|<ACCY>|ramp=yes|ramp=permanent|Change in Ground Height|Ramp|type [14]|permanent||Entrance#hasFixedRamp
personal assistance|<ACCY>||assistence=personal|Facility daily needs|Services|type [1]|personal assistance||WheelchairPlaces#hasSpaceForAssistant
place info accessibility|<ACCY>|access:blind=limited, access:blind=no, access:blind=yes, access:deaf=limited, access:deaf=no, access:deaf=yes, access:disabled=1, access:disabled=2, access:disabled=bad, access:disabled=customers, access:disabled=designated, access:disabled=destination, access:disabled=no, access:disabled=only, access:disabled=permissive, access:disabled=private, access:disabled=yes, access:mental_disabled=limited, access:mental_disabled=no, access:mental_disabled=yes, board_type=information, board_type=map, information=audio_beacon, information=audioguide, information=board, information=guidepost, information=map, information=office, information=route_marker, information=tactile_map, information=tactile_model, information=terminal, information=trail_blaze, information=visitor_centre, room=information|||||||PlaceInfo#accessibility
position of companion seat in wheelchair space (seatings)|<ACCY>||clear_floor_space=yes, companion_seat=yes, location=user defined, location:description:lg=user defined, wheelchair_space=yes|Movables|Wheelchair space (seatings)|companion seat|position [3]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#description, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
raised text|<ACCY>|tactile_writing:embossed_printed_letters:lg=no, tactile_writing:embossed_printed_letters:lg=yes|||||||EquipmentProperties#hasRaisedText, StructuredAddress#text
ramp that can be used by wheelchairs|<ACCY>|ramp:wheelchair=yes, rampDisability=yes||Change Elevation|Stairs|ramp (for wheelchair)||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
ramp to the side of steps|<ACCY>|ramp:bicycle=yes|||||||
ramp with handrail|<ACCY>|handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, ramp=yes||Change in Ground Height|Ramp|handrail [2]|||
ramp with handrail returning to wall, guard or landing surface|<ACCY>|handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, ramp=yes|handrail=guard, handrail=landing, handrail=wall|Change in Ground Height|Ramp|handrail [2]|handrail return to wall, guard or landing surface||
ramp with standard slope|<ACCY>|incline=down, incline=up, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined, ramp=yes||Change in Ground Height|Ramp|slope [6]|standard slope||Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
ramp with wheel guards|<ACCY>|ramp=yes|ramp=wheel_guards, wheel_guards=yes|Change in Ground Height|Ramp|wheel guards|||
ramp without platform|<ACCY>|ramp=yes|ramp=no_platform|Change in Ground Height|Ramp|number of ramps length, platform depth (Ramp to entrance: from outside to access; ramp in corridor: from bottom to top)|no platform||
rollability of the floor|<ACCY>|highway=corridor, highway=footway, highway=path, smoothness=bad, smoothness=excellent, smoothness=good, smoothness=horrible, smoothness=impassable, smoothness=intermediate, smoothness=very_bad, smoothness=very_horrible| |Building characteristics|Floor (pathway)|condition [2]|rollability||
sanitation is accessible|<ACCY>|sanitation=yes, sanitation=Yes|||||||PlaceInfo#accessibility
sanitation is not accesible|<ACCY>|sanitation=no, sanitation=No|||||||
seating pews with wheelchair spaces:  yes, variable / yes, rear / yes, front / no|<ACCY>|wheelchair=no, wheelchair=yes|clear_floor_space=yes, pew=user defined, pew=yes, wheelchair_space=front, wheelchair_space=no, wheelchair_space=rear, wheelchair_space=variable, wheelchair_space=yes|Movables|Seatings|pews|wheelchair spaces:  yes, variable / yes, rear / yes, front / no|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
sign with raised text|<ACCY>|tactile_writing:braille:lg=yes, tactile_writing:computer_braille=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes|sign:raised_text:lg=yes, sign=yes|General help for orientation / Technical assistance|Signage|raised text|||EquipmentProperties#hasRaisedText, Restroom#signIcons
sign with text contrast|<ACCY>||high_contrast=yes, sign=yes|General help for orientation / Technical assistance|Signage|text contrast|||EquipmentProperties#isHighContrast, Restroom#signIcons, WheelchairParking#hasDedicatedSignage
signage in braille|<ACCY>|tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=yes|sign=yes|General help for orientation / Technical assistance|Signage|Braille|||EquipmentProperties#hasBrailleText, Media#isBraille, Restroom#signIcons
signage with high contrast|<ACCY>||high_contrast=yes, sign=yes|General help for orientation / Technical assistance|Signage|high contrast|||EquipmentProperties#isHighContrast, Restroom#signIcons, WheelchairParking#hasDedicatedSignage
signage with text contrast for the purpose: designate permanent rooms or spaces; provide direction to or information about interior spaces|<ACCY>|ref=user defined|high_contrast=yes, sign=direction, sign=yes|General help for orientation / Technical assistance|Signage|text contrast|purpose: designate permanent rooms or spaces; provide direction to or information about interior spaces||EquipmentProperties#isHighContrast, Restroom#signIcons
speech|<ACCY>|speech_input:lg=yes, speech_output:lg=yes|||||||EquipmentProperties#hasSpeech
speech input exists|<ACCY>|speech_input:lg=yes|||||||EquipmentProperties#hasSpeech
staff has free assistant for visitors|<ACCY>||staff:assistant=yes||||||Staff#hasFreeAssistantForVisitors
stair in pews (seatings): yes / no|<ACCY>||pew=stair, pew=no_stair, pew=yes|Movables|Seatings|pews|stair in pews: yes / no||
temporary ramp|<ACCY>|highway=access_ramp, ramp=separate, ramp=yes|ramp=temporary|Change in Ground Height|Ramp|type [14]|temporary||Entrance#hasRemovableRamp
there is a handrail|<ACCY>|handrail=multiple, handrail=yes|||||||Stairs#hasHandRail
there is a ramp|<ACCY>|highway=access_ramp, ramp=yes, ramp=seperated||Change in Ground Height|Ramp|existence [7]|||Entrance#hasFixedRamp, Entrance#hasRemovableRamp
there is no handrail|<ACCY>|handrail=no|||||||
there is no handrail in a place where one might reasonably be expected|<ACCY>|handrail=none|||||||PlaceInfo#accessibility
there is no ramp|<ACCY>|ramp=no, rampDisability=no|||||||
turning possibility after the ramp|<ACCY>|highway=access_ramp, ramp=yes,rampDisabled=yes, wheelchair=yes|clear_floor_space=yes, turning=not_possible, turning=possible, turning:possibility=after_ramp|Change in Ground Height|Ramp|turning possibility|after the ramp: yes/no|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront
